"Name","Team","IP","RE24","ERA","ERA-","tERA","FIP","xFIP","xFIP-","SIERA","FIP-","playerid"
"Neftali Feliz","Rangers","4.2","1.97","0.00","0","4.33","3.26","5.31","134","4.29","80","18"
"John McDonald","Phillies","0.1","-0.51","0.00","0","3.86","-2.95","-2.95","-80","0.69","-78","395"
"Duke Welker","Pirates","1.1","0.59","0.00","0","-0.08","1.55","3.60","95","2.84","42","792"
"Blake Wood","Indians","1.1","0.57","0.00","0","9.47","8.30","9.32","234","10.33","209","1345"
"Jamey Carroll","Twins","1.0","0.45","0.00","0","5.95","3.05","4.41","111","5.59","77","1591"
"Chris Narveson","Brewers","2.0","0.96","0.00","0","5.11","4.55","5.91","157","6.77","116","2141"
"Ryan Raburn","Indians","1.0","0.47","0.00","0","-0.22","1.05","1.05","27","-1.14","27","2218"
"Skip Schumaker","Dodgers","2.0","0.80","0.00","0","11.49","6.55","7.91","211","8.02","176","3704"
"Everett Teaford","Royals","0.2","-0.35","0.00","0","5.57","3.05","7.15","180","9.31","78","3732"
"Enny Romero","Rays","4.2","1.79","0.00","0","4.72","5.62","6.79","171","8.35","144","4001"
"Rafael Dolis","Cubs","5.0","0.48","0.00","0","5.99","4.25","6.16","164","6.64","112","4185"
"Matt Shoemaker","Angels","5.0","2.47","0.00","0","2.91","2.25","3.34","84","3.55","59","4776"
"Clay Rapada","Indians","2.0","0.43","0.00","0","7.79","6.05","8.10","203","8.96","152","4831"
"Alberto Gonzalez","Yankees","0.1","0.49","0.00","0","0.81","3.05","7.15","180","12.81","74","4906"
"Wilmer Font","Rangers","1.1","0.64","0.00","0","4.48","7.55","11.65","292","11.45","184","5257"
"Francisley Bueno","Royals","8.1","3.43","0.00","0","1.34","2.57","4.04","102","3.85","66","5980"
"David Murphy","Rangers","1.0","0.51","0.00","0","7.60","1.05","2.41","61","2.84","26","6035"
"Logan Kensing","Rockies","0.2","0.28","0.00","0","6.95","4.55","4.55","121","9.75","112","6166"
"Donnie Joseph","Royals","5.2","1.91","0.00","0","3.34","2.69","4.14","104","3.85","69","6491"
"Jake Elmore","Astros","1.0","0.47","0.00","0","1.18","3.05","4.41","111","4.28","76","7290"
"Matt Daley","Yankees","6.0","2.97","0.00","0","0.39","0.88","1.79","46","0.86","22","7952"
"Rob Johnson","Cardinals","0.1","0.41","0.00","0","-2.75","-2.95","-2.95","-80","-0.78","-81","8029"
"Josh Harrison","Pirates","0.1","0.47","0.00","0","0.77","3.05","7.15","190","12.81","83","8202"
"Sam Fuld","Rays","0.1","0.60","0.00","0","0.77","3.05","7.15","180","12.81","79","8254"
"Jeff Beliveau","Rays","0.2","0.04","0.00","0","9.95","7.55","9.60","241","9.33","194","8504"
"Josh Tomlin","Indians","2.0","0.91","0.00","0","1.00","3.05","6.46","163","6.34","77","9388"
"Miles Mikolas","Padres","1.2","0.42","0.00","0","6.45","5.45","7.91","211","6.52","147","9803"
"Chris Dwyer","Royals","3.0","1.38","0.00","0","2.42","2.71","4.08","103","3.87","69","10045"
"Shawn Tolleson","Dodgers","0.0","-2.00","0.00","0","527.62","9.05","9.05","241"," ","243","10481"
"Stephen Pryor","Mariners","7.1","4.31","0.00","0","1.82","1.55","2.85","72","2.40","41","10663"
"Heath Hembree","Giants","7.2","1.71","0.00","0","0.62","0.70","1.59","42","1.30","19","11632"
"Kevin Siegrist","Cardinals","39.2","14.13","0.45","12","2.79","2.29","3.00","79","2.69","61","8180"
"Louis Coleman","Royals","29.2","11.48","0.61","15","2.72","2.04","2.70","68","2.30","52","9720"
"Brian Wilson","Dodgers","13.2","6.95","0.66","18","1.94","2.02","2.82","75","2.58","54","6485"
"Jesse Crain","White Sox","36.2","7.92","0.74","18","2.13","1.52","2.94","74","2.42","38","4817"
"Michael Tonkin","Twins","11.1","0.14","0.79","20","2.78","2.08","3.52","89","3.25","53","10315"
"David Hale","Braves","11.0","3.63","0.82","22","1.79","0.78","1.27","33","1.52","21","9756"
"Jeremy Jeffress","Blue Jays","10.1","2.07","0.87","21","4.33","3.43","2.44","62","2.38","85","9490"
"Jimmy Nelson","Brewers","10.0","3.42","0.90","23","5.03","2.95","3.77","100","4.24","75","10547"
"Sean Burnett","Angels","9.2","3.67","0.93","25","4.51","4.19","3.55","90","3.47","109","1886"
"Koji Uehara","Red Sox","74.1","24.73","1.09","26","1.08","1.61","2.08","53","1.29","42","9227"
"Neal Cotts","Rangers","57.0","17.65","1.11","26","2.75","2.17","2.82","71","2.56","54","1797"
"Greg Holland","Royals","67.0","22.38","1.21","30","2.19","1.36","1.68","43","1.43","35","7196"
"Craig Kimbrel","Braves","67.0","18.96","1.21","33","2.37","1.93","1.95","51","1.67","52","6655"
"Zac Rosscup","Cubs","6.2","1.40","1.35","36","5.75","6.05","6.35","169","6.09","160","9419"
"Dan Otero","Athletics","39.0","5.66","1.38","36","2.61","2.12","3.18","80","2.93","55","7385"
"Joe Nathan","Rangers","64.2","17.75","1.39","33","2.82","2.26","3.27","83","2.75","56","1122"
"Mark Melancon","Pirates","71.0","13.78","1.39","39","2.45","1.64","2.05","54","1.73","44","4264"
"James Paxton","Mariners","24.0","6.39","1.50","39","3.25","3.26","3.08","78","3.17","84","11828"
"Tanner Roark","Nationals","53.2","11.08","1.51","40","3.29","2.41","3.14","83","3.27","65","8753"
"Luis Avilan","Braves","65.0","18.42","1.52","41","3.56","3.28","4.02","107","3.77","89","2882"
"Ryan Reid","Pirates","11.0","2.08","1.64","46","4.70","4.32","4.26","113","3.74","118","9385"
"Alex Torres","Rays","58.0","16.50","1.71","44","2.43","2.32","3.30","83","2.87","60","7038"
"Rex Brothers","Rockies","67.1","13.61","1.74","40","4.16","3.36","3.49","93","3.37","83","9794"
"Sean Marshall","Reds","10.1","5.05","1.74","46","1.99","1.98","2.78","74","2.17","51","5905"
"Clay Buchholz","Red Sox","108.1","31.37","1.74","42","3.35","2.78","3.41","86","3.59","72","3543"
"Sergio Santos","Blue Jays","25.2","11.67","1.75","43","1.15","1.84","2.61","66","1.98","46","4734"
"Caleb Thielbar","Twins","46.0","9.66","1.76","44","3.43","3.40","4.14","104","3.64","86","10078"
"Kevin Chapman","Astros","20.1","2.74","1.77","44","4.99","4.28","5.05","127","4.94","106","11240"
"David Carpenter","Braves","65.2","13.96","1.78","48","3.27","2.83","3.11","83","2.61","77","3959"
"Joe Martinez","Indians","5.0","1.33","1.80","45","4.14","1.85","3.76","95","3.90","47","3935"
"Craig Breslow","Red Sox","59.2","14.52","1.81","43","4.31","3.60","4.37","110","4.23","93","4363"
"Clayton Kershaw","Dodgers","236.0","45.33","1.83","51","2.87","2.39","2.88","76","2.99","64","2036"
"Javier Lopez","Giants","39.1","8.70","1.83","53","2.32","2.41","2.92","77","2.72","68","1663"
"Danny Duffy","Royals","24.1","5.95","1.85","46","4.25","3.09","4.60","116","4.64","79","3542"
"Kenley Jansen","Dodgers","76.2","19.46","1.88","52","2.40","1.99","2.06","54","1.55","53","3096"
"Tanner Scheppers","Rangers","76.2","14.51","1.88","44","4.24","3.74","3.88","98","3.47","92","10267"
"Luke Hochevar","Royals","70.1","19.04","1.92","48","3.09","2.96","2.90","73","2.26","76","6943"
"Stolmy Pimentel","Pirates","9.1","0.66","1.93","54","1.92","1.76","3.37","89","2.90","48","6415"
"Mauricio Robles","Phillies","4.2","-0.93","1.93","51","2.14","2.40","4.16","111","3.60","62","8895"
"Jarred Cosart","Astros","60.0","12.43","1.95","49","5.19","4.35","4.68","118","5.27","108","10304"
"Matt Reynolds","Diamondbacks","27.1","3.08","1.98","51","4.45","2.97","3.32","88","3.11","79","8887"
"Ryan Brasier","Angels","9.0","2.84","2.00","53","4.05","4.27","4.50","113","4.14","112","5615"
"Joaquin Benoit","Tigers","67.0","21.26","2.01","50","3.11","2.87","3.16","80","2.79","72","1437"
"Tyler Thornburg","Brewers","66.2","13.69","2.03","52","4.08","3.11","4.43","118","4.38","79","10688"
